prof_id,rec_id,x,y,cds2d,z,cds3d,dirslop
1,1,514243.76420537714,795548.7026523429,0.0,1253.101255396569,0.0,-0.006501931298487149
1,2,514565.98683946836,794620.3287298097,982.7031932176769,1252.9897381307105,982.7031995451727,0.10012340230483298
1,3,514987.3172851294,793734.2998672726,1963.8079224335465,1254.7042037393674,1963.8094267612005,0.39271106041431103
1,4,515025.08788287325,792798.2418545079,2900.627660331328,1261.1253614069676,2900.6511703767696,1.7834281426420275
1,5,514988.73524957884,792024.7925762666,3674.9307663302247,1285.2346432887064,3675.3295277822103,-1.4577476223196224
1,6,515366.67123767035,791118.757902502,4656.6305377259605,1260.252360355198,4657.34712213529,0.34894868735130274
1,7,515305.15132066916,790143.8417285809,5633.485821972689,1266.201779084682,5634.220523320918,0.484319434351746
1,8,515602.15485315083,789277.2588647068,6549.551844848069,1273.9454409949224,6550.319274857287,0.2985356062001806
1,9,515860.04160315637,788474.9371894778,7392.300708015911,1278.3365640702677,7393.0795778690945,0.33749046727695986
1,10,515877.31118802814,787519.6105222708,8347.783454923772,1283.9647281503708,8348.578900668177,2.0651219971284402
1,11,515756.79710622085,786622.3800821453,9253.071313343162,1316.6083169519086,9254.455112129439,-0.8641131266723254
1,12,516282.5213321188,785865.2590247903,10174.818706714275,1302.7058197127699,10176.307343572162,-1.4546523299287777
1,13,516398.1110608141,785329.0145890511,10723.37962424398,1288.7757027444804,10725.045102797623,1.7538155987262067
1,14,516587.2842610926,784382.2813347568,11688.827890330997,1318.337169038975,11690.94584033741,1.2080661386017484
1,15,516671.16711437685,783411.4213882574,12663.30486224558,1338.886799852103,12665.639462004432,-0.4878922135731706
1,16,516638.18607468397,782609.1791333663,13466.224773888052,1332.0495101767742,13468.588484696444,-2.6783407086806577
1,17,517006.0776278862,781953.0967942959,14218.413733231133,1296.8621535677214,14221.60002552617,-0.9472459705515754
1,18,517136.2775651779,781064.3497363083,15116.647197733759,1282.0107008938787,15119.95625909886,-0.709748848550953
1,19,516796.2225772936,780225.6162100384,16021.694888672828,1270.7988905243803,16025.073393820054,1.6135360598068877
1,20,516361.5479342913,779443.3101670842,16916.650077557628,1296.0088509322939,16920.383581529095,-0.9567212219145959
1,21,515855.02168552444,778987.261703099,17598.228423892884,1284.6268419043301,17602.056958097826,2.365964176286219
