prof_id,rec_id,x,y,cds2d,z,cds3d,dirslop
1,394,473107.38894284324,1061030.1920289223,356884.3297455509,62.00259516071503,357033.2340974857,0.5229962890675204
1,395,473773.6029706781,1061756.6174326697,357869.99449489196,71.0,358018.93991130014,0.10246145177474815
1,396,474470.51752328774,1062364.9531753245,358795.06869160826,72.65430241180309,358944.01558720286,-0.48757169717462184
1,397,474807.9489061577,1063249.3407861947,359741.6421881769,64.59902170995116,359890.62335811614,-0.7930937419458456
1,398,475398.1242427431,1064032.1722219072,360722.015578602,51.027731290331054,360871.09067760064,-0.32341998883944717
1,399,475853.21619051753,1064865.5283456633,361671.5370949095,45.667868792260336,361820.6273214733,0.3853121623227464
1,400,476182.5649749148,1065763.8146334528,362628.2966658648,52.102141260092935,362777.40852764156,0.5183512336824421
1,401,476610.18530325586,1066600.0481971512,363567.52279319847,60.59949147972984,363716.67309272796,-0.6437547817863459
1,402,476876.2450843467,1067513.705294229,364519.13043196296,49.90712019933363,364668.34079994436,0.16056945038493578
1,403,476943.85651731084,1068498.490821654,365506.2341959579,52.673451771145864,365655.44844021637,0.6429610258032993
1,404,477328.6878185753,1069396.9864079151,366483.6744493564,63.64253840946043,366632.9502406369,-1.423908458454626
1,405,478170.2730026775,1069840.162445378,367434.81619603856,40.0,367584.3857833323,1.5810759877249159
1,406,478435.74146439496,1070698.1887946294,368332.97137203894,64.79086858241845,368482.88303282246,-0.7955497023982736
1,407,477932.6859063278,1071469.8370534764,369254.1151881088,52.0,369404.11565067904,-0.23491961329291056
1,408,477194.82436751144,1072143.621007199,370253.32711095526,47.903087524256705,370403.3359724551,-0.08108258840517917
1,409,476400.1518274115,1072734.4213847846,371243.5541213646,46.501758780789125,371393.56397441553,-0.07848001589932492
1,410,475521.4123065593,1073211.7085875229,372243.5472310435,45.132032687625625,372393.5580221752,-0.2478439364152629
1,411,474638.0707384844,1073678.7556553755,373242.75956557447,40.809720205676,373392.77970521856,-0.1385554171422819
1,412,473781.23681367445,1074157.5570107864,374224.29668287997,38.436115186495044,374374.31969250855,-0.14620512116464698
1,413,472932.8113224145,1074638.7382946382,375199.67416988127,35.94717979884958,375349.7003550954,0.3996392434783957
1,414,472198.0054825783,1075261.8133108884,376163.0858669934,42.667105227862685,376313.13548811176,0.011240911702263764
1,415,471495.8758960825,1075936.506584448,377136.8399271233,42.85814693535146,377286.889566982,0.11609180472858317
1,416,470889.8007129433,1076731.913946988,378136.83992712334,44.884333935232966,378286.8916196968,0.2507846919513608
1,417,470254.2710409483,1077499.8112999764,379133.6168874874,49.247273081176374,379283.678128409,0.4380518058517438
1,418,469539.0674668008,1078094.1220450548,380063.5208686537,56.3569425666621,380213.60928800586,0.5202754634407772
1,419,468772.7101049053,1078710.2428054719,381046.835872886,65.28619941018019,381196.9648336637,0.18630111642437364
1,420,467887.5223585736,1079043.0212412023,381992.50961871113,68.36113262549945,382142.6435786703,0.598174841877284
1,421,467080.8742667812,1079574.36265597,382958.4313769503,78.44583856925783,383108.61798016017,1.5375940550926954
1,422,466137.20992372674,1079742.8655104283,383917.02180268645,104.17682402600394,384067.55368599534,1.1071662539777778
1,423,465342.2039714564,1080317.4795769637,384897.94778848026,123.1342997290559,385048.6628417424,-0.9413193058818474
1,424,464716.02263146103,1081067.503457712,385875.0040264989,107.08067997281762,386025.8509561597,-0.05461762705050516
1,425,463888.1058004007,1081577.0408064176,386847.15349488263,106.15397099642018,386998.0008662396,-0.8169090538940127
1,426,462930.1134219819,1081797.5309942064,387830.1923140651,92.13709682519892,387981.1396116775,-0.16316333109512648
1,427,461958.4785956222,1081594.2649984278,388822.8610910673,89.3102292349909,388973.8124137706,-0.5964621763822444
1,428,460984.4019270614,1081449.9625560457,389807.56843394233,79.058830126604,389958.5731168328,-0.3072519260044707
1,429,460127.6438491251,1081305.889015943,390676.3558584984,74.39986273757593,390827.3730334097,0.6448179594227315
1,430,459285.22819887905,1081114.3333216098,391540.27582690463,84.12299829890247,391691.34771543235,-0.2789099896790303
1,431,458453.16394013015,1080691.5023345323,392473.6123012376,79.57957599365999,392624.69524824445,0.4311351949119396
1,432,457561.8287765019,1080338.0063784907,393432.4854757805,86.79497264618544,393583.5955698665,-1.0793850588773637
1,433,456832.7475247276,1079689.8251498782,394408.03577013465,68.4145786935034,394559.319001837,-0.5772622713636617
1,434,456163.7368810516,1079050.1389466224,395333.6564699829,59.0885167675471,395484.98668271315,0.22338642210250315
1,435,455298.2165449088,1078805.2361869533,396233.15789520147,62.59553639281751,396384.49494457454,0.4742439139415823
1,436,454299.97236078396,1078864.4286236016,397233.15549304633,70.87282329409861,397384.5267986542,-0.3790771008700918
1,437,453392.8866358978,1078640.0393356143,398167.58316004666,64.69042552330336,398318.97491754463,0.11978850790324004
1,438,452477.70826290053,1078763.1459210054,399091.0043455133,66.62102858135756,399242.39812117163,1.1111647068992383
1,439,451857.2493350078,1079369.0363679426,399958.2254908341,83.4415756608923,400109.7823760988,0.95063631823878
1,440,451193.26653553895,1079925.4455230315,400824.51892025466,97.81620465167953,400976.19505826355,0.6632711612203886
1,441,450235.1870418055,1080073.199571079,401793.9247047572,109.0388048019243,401945.66580139153,1.305054024898389
1,442,450247.82945892046,1080999.4883196263,402720.299724064,130.14295205252222,402872.28118083806,0.9483100141592975
1,443,449717.0698938483,1081717.5459121084,403613.2232493654,144.9231969121321,403765.3270238242,-1.0900322755447494
1,444,448767.6772146441,1081818.4764710173,404567.9658518758,126.75735931100172,404720.24243091745,-0.2380391906410508
1,445,447840.7799458331,1082122.2667514298,405543.37708894577,122.7049240483309,405695.6620860577,-0.4148426980832263
1,446,446973.50175002875,1082605.8089870133,406536.34464255,115.51534497610714,406688.6556673854,-0.4468642070961339
1,447,446040.2015866193,1082855.0771680006,407502.35904258385,107.98100273429839,407654.69944868406,-0.021468604322393513
1,448,445049.6695779687,1082936.7260397337,408496.2504845516,107.60859374908284,408648.5909604222,-0.4166710584958351
1,449,444159.6000993122,1083329.5910582046,409469.1670275161,100.5331456827443,409621.53323082643,-0.29861837003926983
1,450,443266.52330444346,1083756.1335886586,410458.87642517744,95.37485853295038,410611.2560706889,0.04360107470457327
1,451,442640.19713663956,1084373.1363688037,411338.06747334765,96.04390749774737,411490.44737342634,-0.33219767360413055
